loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.4377,8.038500785827637,9.857142857142858e-05,1.0,5,,,,,,,,,,
,,,1.0,5,3.0315141677856445,0.07936507936507936,0.441,142.853,2.268,,,,,
3.0964,112.54655456542969,9.714285714285715e-05,2.0,10,,,,,,,,,,
,,,2.0,10,2.9140896797180176,0.15873015873015872,0.5438,115.843,1.839,,,,,
2.9771,9.252520561218262,9.571428571428573e-05,3.0,15,,,,,,,,,,
,,,3.0,15,2.8962771892547607,0.15873015873015872,0.4413,142.766,2.266,,,,,
3.0465,16.928428649902344,9.428571428571429e-05,4.0,20,,,,,,,,,,
,,,4.0,20,2.8275580406188965,0.15873015873015872,0.4428,142.282,2.258,,,,,
2.8566,9.329190254211426,9.285714285714286e-05,5.0,25,,,,,,,,,,
,,,5.0,25,2.7119030952453613,0.20634920634920634,0.4422,142.454,2.261,,,,,
2.8365,9.55935001373291,9.142857142857143e-05,6.0,30,,,,,,,,,,
,,,6.0,30,2.547696590423584,0.2698412698412698,0.4411,142.813,2.267,,,,,
2.5859,15.484585762023926,9e-05,7.0,35,,,,,,,,,,
,,,7.0,35,2.2616159915924072,0.3968253968253968,0.4414,142.732,2.266,,,,,
2.8496,10.582746505737305,8.857142857142857e-05,8.0,40,,,,,,,,,,
,,,8.0,40,2.6511070728302,0.30158730158730157,0.4416,142.675,2.265,,,,,
2.7734,34.651954650878906,8.714285714285715e-05,9.0,45,,,,,,,,,,
,,,9.0,45,2.5791611671447754,0.2222222222222222,0.4428,142.268,2.258,,,,,
2.4126,15.26511287689209,8.571428571428571e-05,10.0,50,,,,,,,,,,
,,,10.0,50,2.2953033447265625,0.3492063492063492,0.441,142.866,2.268,,,,,
2.2978,17.126041412353516,8.428571428571429e-05,11.0,55,,,,,,,,,,
