loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.3129,6.022161960601807,9.857142857142859e-06,1.0,17,,,,,,,,,,
,,,1.0,17,3.260009765625,0.015625,0.1656,386.555,24.16,,,,,
3.1693,7.368532180786133,9.714285714285715e-06,2.0,34,,,,,,,,,,
,,,2.0,34,3.130859375,0.0625,0.1657,386.147,24.134,,,,,
3.0268,5.618917465209961,9.571428571428573e-06,3.0,51,,,,,,,,,,
,,,3.0,51,2.98583984375,0.171875,0.1655,386.641,24.165,,,,,
2.8886,7.4523606300354,9.42857142857143e-06,4.0,68,,,,,,,,,,
,,,4.0,68,2.81298828125,0.1875,0.1661,385.251,24.078,,,,,
2.7155,9.886176109313965,9.285714285714288e-06,5.0,85,,,,,,,,,,
,,,5.0,85,2.7291259765625,0.234375,0.1655,386.749,24.172,,,,,
2.5359,12.161059379577637,9.142857142857144e-06,6.0,102,,,,,,,,,,
,,,6.0,102,2.49658203125,0.3125,0.1658,386.015,24.126,,,,,
2.3764,11.74755859375,9e-06,7.0,119,,,,,,,,,,
,,,7.0,119,2.36114501953125,0.359375,0.1657,386.283,24.143,,,,,
2.2591,9.106770515441895,8.857142857142858e-06,8.0,136,,,,,,,,,,
,,,8.0,136,2.30615234375,0.421875,0.1655,386.648,24.165,,,,,
2.0732,10.363689422607422,8.714285714285715e-06,9.0,153,,,,,,,,,,
,,,9.0,153,2.06463623046875,0.46875,0.1661,385.391,24.087,,,,,
1.9386,8.883234977722168,8.571428571428571e-06,10.0,170,,,,,,,,,,
,,,10.0,170,1.94219970703125,0.5,0.1659,385.727,24.108,,,,,
1.7856,10.387771606445312,8.428571428571429e-06,11.0,187,,,,,,,,,,
,,,11.0,187,1.842376708984375,0.53125,0.1662,385.072,24.067,,,,,
1.671,8.467880249023438,8.285714285714287e-06,12.0,204,,,,,,,,,,
,,,12.0,204,1.808013916015625,0.5625,0.1664,384.534,24.033,,,,,
1.5788,8.824917793273926,8.142857142857143e-06,13.0,221,,,,,,,,,,
,,,13.0,221,1.71759033203125,0.59375,0.1664,384.725,24.045,,,,,
1.4724,9.080916404724121,8.000000000000001e-06,14.0,238,,,,,,,,,,
,,,14.0,238,1.6280517578125,0.625,0.1664,384.658,24.041,,,,,
1.3823,8.703099250793457,7.857142857142858e-06,15.0,255,,,,,,,,,,
,,,15.0,255,1.5493316650390625,0.65625,0.1662,385.088,24.068,,,,,
1.3156,8.501460075378418,7.714285714285716e-06,16.0,272,,,,,,,,,,
,,,16.0,272,1.5088653564453125,0.625,0.1662,385.002,24.063,,,,,
1.2421,9.112532615661621,7.571428571428572e-06,17.0,289,,,,,,,,,,
,,,17.0,289,1.470489501953125,0.625,0.1661,385.24,24.077,,,,,
1.1776,9.28463363647461,7.428571428571429e-06,18.0,306,,,,,,,,,,
,,,18.0,306,1.4098587036132812,0.703125,0.1662,385.119,24.07,,,,,
1.1241,7.383902549743652,7.285714285714286e-06,19.0,323,,,,,,,,,,
,,,19.0,323,1.3689193725585938,0.640625,0.1664,384.601,24.038,,,,,
1.0585,9.119632720947266,7.1428571428571436e-06,20.0,340,,,,,,,,,,
,,,20.0,340,1.2805862426757812,0.703125,0.1663,384.799,24.05,,,,,
1.0008,8.975317001342773,7e-06,21.0,357,,,,,,,,,,
,,,21.0,357,1.2492599487304688,0.703125,0.1664,384.708,24.044,,,,,
0.9726,6.841068267822266,6.857142857142858e-06,22.0,374,,,,,,,,,,
,,,22.0,374,1.267913818359375,0.71875,0.1659,385.877,24.117,,,,,
0.9138,8.668654441833496,6.714285714285714e-06,23.0,391,,,,,,,,,,
,,,23.0,391,1.3174591064453125,0.671875,0.1661,385.266,24.079,,,,,
0.8817,10.503303527832031,6.571428571428572e-06,24.0,408,,,,,,,,,,
,,,24.0,408,1.2250747680664062,0.71875,0.1657,386.345,24.147,,,,,
0.8566,10.08056926727295,6.4285714285714295e-06,25.0,425,,,,,,,,,,
,,,25.0,425,1.2042617797851562,0.71875,0.1659,385.846,24.115,,,,,
0.8081,9.896183967590332,6.285714285714286e-06,26.0,442,,,,,,,,,,
,,,26.0,442,1.1935653686523438,0.6875,0.166,385.639,24.102,,,,,
0.7806,6.105489253997803,6.142857142857144e-06,27.0,459,,,,,,,,,,
,,,27.0,459,1.1907882690429688,0.71875,0.1657,386.237,24.14,,,,,
0.7597,7.144295692443848,6e-06,28.0,476,,,,,,,,,,
,,,28.0,476,1.2624664306640625,0.671875,0.1665,384.276,24.017,,,,,
0.7363,6.49525260925293,5.857142857142858e-06,29.0,493,,,,,,,,,,
,,,29.0,493,1.1197738647460938,0.734375,0.1659,385.881,24.118,,,,,
0.6947,4.737913608551025,5.7142857142857145e-06,30.0,510,,,,,,,,,,
,,,30.0,510,1.1888084411621094,0.6875,0.166,385.482,24.093,,,,,
0.6758,7.383928298950195,5.571428571428572e-06,31.0,527,,,,,,,,,,
,,,31.0,527,1.1533241271972656,0.703125,0.166,385.627,24.102,,,,,
0.6511,6.190914630889893,5.428571428571429e-06,32.0,544,,,,,,,,,,
,,,32.0,544,1.1625823974609375,0.6875,0.1662,385.005,24.063,,,,,
0.628,4.708139419555664,5.285714285714286e-06,33.0,561,,,,,,,,,,
,,,33.0,561,1.0971908569335938,0.71875,0.1657,386.141,24.134,,,,,
0.6219,6.938891887664795,5.142857142857142e-06,34.0,578,,,,,,,,,,
,,,34.0,578,1.1194114685058594,0.734375,0.1657,386.228,24.139,,,,,
0.5998,5.591817855834961,5e-06,35.0,595,,,,,,,,,,
,,,35.0,595,1.108978271484375,0.703125,0.1659,385.826,24.114,,,,,
0.578,6.061000347137451,4.857142857142858e-06,36.0,612,,,,,,,,,,
,,,36.0,612,1.1014595031738281,0.71875,0.1658,385.934,24.121,,,,,
0.5637,6.0944037437438965,4.714285714285715e-06,37.0,629,,,,,,,,,,
,,,37.0,629,1.0908584594726562,0.71875,0.1662,384.973,24.061,,,,,
0.5513,5.290858268737793,4.571428571428572e-06,38.0,646,,,,,,,,,,
,,,38.0,646,1.1142234802246094,0.703125,0.1659,385.864,24.117,,,,,
0.5274,4.834711074829102,4.428571428571429e-06,39.0,663,,,,,,,,,,
,,,39.0,663,1.0618629455566406,0.71875,0.1658,386.071,24.129,,,,,
0.5225,4.389156818389893,4.2857142857142855e-06,40.0,680,,,,,,,,,,
,,,40.0,680,1.0932769775390625,0.703125,0.1662,385.129,24.071,,,,,
0.5025,5.968356609344482,4.1428571428571435e-06,41.0,697,,,,,,,,,,
,,,41.0,697,1.062896728515625,0.6875,0.1661,385.234,24.077,,,,,
0.4967,9.044075965881348,4.000000000000001e-06,42.0,714,,,,,,,,,,
,,,42.0,714,1.0841636657714844,0.703125,0.1657,386.217,24.139,,,,,
0.4987,10.313017845153809,3.857142857142858e-06,43.0,731,,,,,,,,,,
,,,43.0,731,1.0353946685791016,0.71875,0.1661,385.234,24.077,,,,,
0.4839,5.662889003753662,3.7142857142857146e-06,44.0,748,,,,,,,,,,
,,,44.0,748,1.0441246032714844,0.734375,0.1664,384.642,24.04,,,,,
0.4543,4.470062255859375,3.5714285714285718e-06,45.0,765,,,,,,,,,,
,,,45.0,765,1.063516616821289,0.71875,0.1664,384.6,24.037,,,,,
0.4518,6.129147052764893,3.428571428571429e-06,46.0,782,,,,,,,,,,
,,,46.0,782,1.0613327026367188,0.71875,0.1662,384.971,24.061,,,,,
0.454,3.165506362915039,3.285714285714286e-06,47.0,799,,,,,,,,,,
,,,47.0,799,1.09478759765625,0.71875,0.1665,384.439,24.027,,,,,
0.4413,6.881756782531738,3.142857142857143e-06,48.0,816,,,,,,,,,,
,,,48.0,816,1.083740234375,0.703125,0.1662,385.155,24.072,,,,,
0.4414,9.429573059082031,3e-06,49.0,833,,,,,,,,,,
,,,49.0,833,1.0722179412841797,0.71875,0.166,385.551,24.097,,,,,
,,,49.0,833,,,,,,183.527,102.982,6.484,3481803123886080.0,1.1970096424418766
