loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.3112,6.604337215423584,9.933333333333334e-06,1.0,17,,,,,,,,,,
,,,1.0,17,3.3111979961395264,0.1111111111111111,1.512,47.618,3.307,,,,,
3.2019,7.394819259643555,9.866666666666668e-06,2.0,34,,,,,,,,,,
,,,2.0,34,3.221788167953491,0.1111111111111111,1.505,47.841,3.322,,,,,
3.1442,8.491230964660645,9.800000000000001e-06,3.0,51,,,,,,,,,,
,,,3.0,51,3.157335042953491,0.1111111111111111,1.4854,48.472,3.366,,,,,
3.0452,6.243011474609375,9.733333333333334e-06,4.0,68,,,,,,,,,,
,,,4.0,68,3.110243082046509,0.1111111111111111,1.487,48.42,3.362,,,,,
3.0018,6.461718559265137,9.666666666666667e-06,5.0,85,,,,,,,,,,
,,,5.0,85,3.0793185234069824,0.1111111111111111,1.5112,47.644,3.309,,,,,
2.9253,8.101171493530273,9.600000000000001e-06,6.0,102,,,,,,,,,,
,,,6.0,102,3.0179035663604736,0.125,1.4865,48.434,3.363,,,,,
2.8772,12.955588340759277,9.533333333333334e-06,7.0,119,,,,,,,,,,
,,,7.0,119,2.9847004413604736,0.125,1.4843,48.506,3.369,,,,,
2.808,10.95407772064209,9.466666666666667e-06,8.0,136,,,,,,,,,,
,,,8.0,136,2.923773765563965,0.125,1.4807,48.625,3.377,,,,,
2.7821,9.031599998474121,9.4e-06,9.0,153,,,,,,,,,,
,,,9.0,153,2.863715171813965,0.125,1.5113,47.642,3.308,,,,,
2.7351,12.588212013244629,9.333333333333334e-06,10.0,170,,,,,,,,,,
,,,10.0,170,2.8140461444854736,0.125,1.4883,48.377,3.36,,,,,
2.6825,10.914430618286133,9.266666666666667e-06,11.0,187,,,,,,,,,,
,,,11.0,187,2.7258028984069824,0.1527777777777778,1.5113,47.64,3.308,,,,,
2.6247,9.732988357543945,9.200000000000002e-06,12.0,204,,,,,,,,,,
,,,12.0,204,2.682806968688965,0.18055555555555555,1.481,48.616,3.376,,,,,
2.5951,8.445768356323242,9.133333333333335e-06,13.0,221,,,,,,,,,,
,,,13.0,221,2.63525390625,0.2222222222222222,1.5098,47.69,3.312,,,,,
2.515,9.101005554199219,9.066666666666667e-06,14.0,238,,,,,,,,,,
,,,14.0,238,2.606987953186035,0.2222222222222222,1.4781,48.71,3.383,,,,,
2.5098,12.30675983428955,9e-06,15.0,255,,,,,,,,,,
,,,15.0,255,2.554863929748535,0.2361111111111111,1.4864,48.439,3.364,,,,,
2.452,9.053348541259766,8.933333333333333e-06,16.0,272,,,,,,,,,,
,,,16.0,272,2.516587972640991,0.2777777777777778,1.4794,48.668,3.38,,,,,
2.401,9.042191505432129,8.866666666666668e-06,17.0,289,,,,,,,,,,
,,,17.0,289,2.462266683578491,0.3055555555555556,1.4856,48.466,3.366,,,,,
2.3955,9.801093101501465,8.8e-06,18.0,306,,,,,,,,,,
,,,18.0,306,2.4213054180145264,0.3472222222222222,1.483,48.552,3.372,,,,,
2.2975,11.769399642944336,8.733333333333333e-06,19.0,323,,,,,,,,,,
,,,19.0,323,2.3904080390930176,0.3472222222222222,1.4863,48.443,3.364,,,,,
2.3297,10.613224983215332,8.666666666666668e-06,20.0,340,,,,,,,,,,
,,,20.0,340,2.377631187438965,0.3472222222222222,1.4842,48.512,3.369,,,,,
2.2388,12.067949295043945,8.6e-06,21.0,357,,,,,,,,,,
,,,21.0,357,2.328179359436035,0.3611111111111111,1.4886,48.367,3.359,,,,,
2.1947,10.24575138092041,8.533333333333335e-06,22.0,374,,,,,,,,,,
,,,22.0,374,2.312920570373535,0.375,1.4845,48.5,3.368,,,,,
2.1605,10.85994815826416,8.466666666666668e-06,23.0,391,,,,,,,,,,
,,,23.0,391,2.2599825859069824,0.375,1.4842,48.51,3.369,,,,,
2.1523,11.462305068969727,8.400000000000001e-06,24.0,408,,,,,,,,,,
,,,24.0,408,2.2121784687042236,0.375,1.4856,48.464,3.366,,,,,
2.0904,12.692816734313965,8.333333333333334e-06,25.0,425,,,,,,,,,,
,,,25.0,425,2.189215660095215,0.4166666666666667,1.4838,48.525,3.37,,,,,
2.0778,11.76949405670166,8.266666666666667e-06,26.0,442,,,,,,,,,,
,,,26.0,442,2.142225503921509,0.4027777777777778,1.487,48.419,3.362,,,,,
2.0535,12.786049842834473,8.2e-06,27.0,459,,,,,,,,,,
,,,27.0,459,2.10931396484375,0.4305555555555556,1.4789,48.684,3.381,,,,,
1.9824,13.249730110168457,8.133333333333334e-06,28.0,476,,,,,,,,,,
,,,28.0,476,2.082892417907715,0.4166666666666667,1.4878,48.393,3.361,,,,,
1.9928,14.67791748046875,8.066666666666667e-06,29.0,493,,,,,,,,,,
,,,29.0,493,2.0523681640625,0.4305555555555556,1.4858,48.457,3.365,,,,,
1.9208,10.593119621276855,8.000000000000001e-06,30.0,510,,,,,,,,,,
,,,30.0,510,2.046644449234009,0.4305555555555556,1.4861,48.45,3.365,,,,,
1.902,12.592819213867188,7.933333333333334e-06,31.0,527,,,,,,,,,,
,,,31.0,527,2.0370280742645264,0.4444444444444444,1.4851,48.481,3.367,,,,,
1.8903,9.895989418029785,7.866666666666667e-06,32.0,544,,,,,,,,,,
,,,32.0,544,1.9795260429382324,0.4583333333333333,1.4777,48.724,3.384,,,,,
1.8241,13.470756530761719,7.800000000000002e-06,33.0,561,,,,,,,,,,
,,,33.0,561,1.9332749843597412,0.4861111111111111,1.4805,48.632,3.377,,,,,
1.773,11.507489204406738,7.733333333333334e-06,34.0,578,,,,,,,,,,
,,,34.0,578,1.9329324960708618,0.4722222222222222,1.4876,48.402,3.361,,,,,
1.7455,9.477949142456055,7.666666666666667e-06,35.0,595,,,,,,,,,,
,,,35.0,595,1.9256523847579956,0.4722222222222222,1.4835,48.535,3.37,,,,,
1.7551,10.739581108093262,7.600000000000001e-06,36.0,612,,,,,,,,,,
,,,36.0,612,1.8921746015548706,0.4861111111111111,1.4818,48.59,3.374,,,,,
1.7102,11.05798625946045,7.533333333333334e-06,37.0,629,,,,,,,,,,
,,,37.0,629,1.8561367988586426,0.5,1.4829,48.553,3.372,,,,,
1.6897,9.589067459106445,7.4666666666666675e-06,38.0,646,,,,,,,,,,
,,,38.0,646,1.858123779296875,0.5,1.4863,48.442,3.364,,,,,
